Specimen #	Depository	Coll Event #	Created	Sex	Stage	Last Name	Date	Family	Genus	Species	Host Taxon	Country	County	State	Latitude1	Longitude1	Verbatim Locality	Start Date	Verbatim Date	End Date	Order
UMSP000362932	UMSP		2020-08-27 12:07:04			C. Searl	1929	Dermestidae	Anthrenus	lepidus	Adenostoma	United States	San Diego	California				06-06-1928	06/06/2028		Coleoptera 
UMSP000362933	UMSP		2020-08-27 12:07:05			C. Searl	1929	Dermestidae	Anthrenus	lepidus	Adenostoma	United States	San Diego	California				06-06-1928	06/06/2028		Coleoptera 
UMSP000413990	UMSP		2020-08-27 12:10:23					Dermestidae	Dermestes	caninus	Apocynum cannabinum var. pubescens	United States	Douglas	Kansas				06-07-1920	July-6-1920		Coleoptera 
UMSP000414017	UMSP		2020-08-27 12:10:35			A. Herrmann	2017	Dermestidae	Dermestes	caninus	on dead mouse	United States	Ramsey	Minnesota				29-09-1935	Sept. 29 1935		Coleoptera 
UMSP000414034	UMSP		2020-08-27 12:10:42			A. Herrmann	2017	Dermestidae	Dermestes	caninus	ex: dead bobcat	United States	Val Verde	Texas				20-04-1962	20 Apr. 1962		Coleoptera 
UMSP000414035	UMSP		2020-08-27 12:10:43			A. Herrmann	2017	Dermestidae	Dermestes	caninus	ex: dead bobcat	United States	Val Verde	Texas				20-04-1962	20 Apr. 1962		Coleoptera 
UMSP000414036	UMSP		2020-08-27 12:10:44			A. Herrmann	2017	Dermestidae	Dermestes	caninus	ex: dead bobcat	United States	Val Verde	Texas				20-04-1962	20 Apr. 1962		Coleoptera 
UMSP000414037	UMSP		2020-08-27 12:10:45			A. Herrmann	2017	Dermestidae	Dermestes	caninus	ex: dead bobcat	United States	Val Verde	Texas				20-04-1962	20 Apr. 1962		Coleoptera 
UMSP000414038	UMSP		2020-08-27 12:10:45			A. Herrmann	2017	Dermestidae	Dermestes	caninus	ex: dead bobcat	United States	Val Verde	Texas				20-04-1962	20 Apr. 1962		Coleoptera 
UMSP000414039	UMSP		2020-08-27 12:10:46			A. Herrmann	2017	Dermestidae	Dermestes	caninus	2.30pm	France	Haute-Garonne	Occitanie				03-04-1929	04/03/2029		Coleoptera 
UMSP000415900	UMSP		2020-08-27 12:11:42			A. Herrmann	2017	Dermestidae	Dermestes	frischii	ex: dead bobcat	United States	Val Verde	Texas				20-04-1962	20 Apr. 1962		Coleoptera 
UMSP000415918	UMSP		2020-08-27 12:11:50			A. Herrmann	2017	Dermestidae	Dermestes	frischii	pheasant closed	United States	Ramsey	Minnesota				24-04-1962	24/04/1962		Coleoptera 
UMSP000416176	UMSP		2020-08-27 12:13:45			A. Herrmann	2017	Dermestidae	Dermestes	lardarius	thistle	United States	St. Louis	Minnesota				07-06-1995	VI-07-95		Coleoptera 
UMSP000416910	UMSP		2020-08-27 12:16:19			A. Herrmann	2017	Dermestidae	Dermestes	maculatus	dead cow	United States	Los Angeles	California				12-08-1961	08/12/1961		Coleoptera 
UMSP000416980	UMSP		2020-08-27 12:16:52			A. Herrmann	2017	Dermestidae	Dermestes	marmoratus	ex: dead bobcat	United States	Val Verde	Texas				20-04-1962	20 Apr. 1962		Coleoptera 
UMSP000416981	UMSP		2020-08-27 12:16:53			A. Herrmann	2017	Dermestidae	Dermestes	marmoratus	ex: dead bobcat	United States	Val Verde	Texas				20-04-1962	20 Apr. 1962		Coleoptera 
UMSP000417036	UMSP		2020-08-27 12:17:17			A. Herrmann	2017	Dermestidae	Dermestes	cf. signatus	infesting Belostomatidae							1938	1938		Coleoptera 
UMSP000417037	UMSP		2020-08-27 12:17:17			A. Herrmann	2017	Dermestidae	Dermestes	cf. signatus	infesting Belostomatidae							1938	1938		Coleoptera 
UMSP000417038	UMSP		2020-08-27 12:17:17			A. Herrmann	2017	Dermestidae	Dermestes	cf. signatus	infesting Belostomatidae							1938	1938		Coleoptera 
UMSP000417092	UMSP		2020-08-27 12:17:42			A. Herrmann	2017	Dermestidae	Dermestes	talpinus	on dead grackle	United States	Ramsey	Minnesota				21-05-1967	21/05/1967		Coleoptera 
UMSP000416316	UMSP		2020-08-27 12:18:27			A. Herrmann	2017	Dermestidae	Orphilus	ater	on flowers of Goatsbeard	United States	Athens	Ohio				22-06-1935	22/06/1935		Coleoptera 
UMSP000416317	UMSP		2020-08-27 12:18:28			A. Herrmann	2017	Dermestidae	Orphilus	ater	on flowers of Goatsbeard	United States	Athens	Ohio				22-06-1935	22/06/1935		Coleoptera 
UMSP000416366	UMSP		2020-08-27 12:18:49	female		H. E. Milliron	1939	Dermestidae	Reesa	vespulae	from nest of V. arenaria (Fab)	United States	Ramsey	Minnesota				10-10-1938	Oct 10 1938		Coleoptera 
UMSP000416367	UMSP		2020-08-27 12:18:49	female		H. E. Milliron	1939	Dermestidae	Reesa	vespulae	from nest of V. arenaria (Fab)	United States	Ramsey	Minnesota				08-08-1938	Aug 8 1938		Coleoptera 
UMSP000416368	UMSP		2020-08-27 12:18:50	female		H. E. Milliron	1939	Dermestidae	Reesa	vespulae	from nest of V. arenaria (Fab)	United States	Ramsey	Minnesota				08-08-1938	Aug 8 1938		Coleoptera 
UMSP000416369	UMSP		2020-08-27 12:18:50	female		H. E. Milliron	1939	Dermestidae	Reesa	vespulae	from nest of V. arenaria (Fab)	United States	Ramsey	Minnesota				08-08-1938	Aug 8 1938		Coleoptera 
UMSP000416370	UMSP		2020-08-27 12:18:51	female		H. E. Milliron	1939	Dermestidae	Reesa	vespulae	from nest of V. arenaria (Fab)	United States	Ramsey	Minnesota				08-08-1938	Aug 8 1938		Coleoptera 
UMSP000416371	UMSP		2020-08-27 12:18:52	female		H. E. Milliron	1939	Dermestidae	Reesa	vespulae	from nest of V. arenaria (Fab)	United States	Ramsey	Minnesota				08-08-1938	Aug 8 1938		Coleoptera 
